"","Gene"
"362","Gda"
"363","Rgs6"
"364","Rimbp2"
"365","Ermn"
"366","P2ry1"
"367","Slc10a4"
"368","Cadps2"
"369","Thsd7a"
"370","Megf10"
"371","Epb4.1l4a"
"372","Gulp1"
"373","Hsd11b1"
"374","Unc5b"
"375","Gldn"
"376","Rspo3"
"377","Nell1"
"378","8030451O07Rik"
"379","H2-K1"
"380","Cldn10"
"381","Pllp"
"382","Nptx2"
"383","Itgb5"
"384","Adamtsl2"
"385","Cplx3"
"386","Rgs17"
"387","Bcl11b"
"388","Srgap3"
"389","Rgs7"
"390","Rgs8"
"391","Il1rapl1"
"392","Dusp14"
"393","Thrsp"
"394","Syce2"
"395","Sp9"
"396","LOC105244517"
"397","Ppp1r1c"
"398","Dennd2d"
"399","Rarres1"
"400","B230216G23Rik"
"401","Syt6"
"402","Ecel1"
"403","Npffr1"
"404","Clic4"
"405","Siglecf"
"406","Hspb1"
"407","Tspan18"
"408","Pdlim2"
"409","Serpina12"
"410","Drd2"
"411","Nxph3"
"412","Tspan2os"
"413","Calb1"
"414","Ngb"
"415","Whrn"
"416","Crtac1"
"417","Bcl11a"
"418","A830018L16Rik"
"419","Ptprm"
"420","Pip5k1b"
"421","Mmp17"
"422","Ak5"
"423","Ociad2"
"424","Lmo2"
"425","Sphkap"
"426","Pex5l"
"427","Crabp1"
"428","Crispld2"
"429","Ppapdc1a"
"430","Col15a1"
"431","Cd63-ps"
"432","Syt10"
"433","Plxdc1"
"434","Plekha2"
"435","Tmem200a"
"436","Cdkn1a"
"437","Creb3l1"
"438","Hpcal1"
"439","Stac2"
"440","Il34"
"441","Cpne8"
"442","Vat1l"
"443","Chml"
"444","Lphn2"
"445","Bglap2"
"446","Fgf1"
"447","Trp53i11"
"448","Trim36"
"449","Pcdh20"
"450","Tns1"
"451","Ppap2c"
"452","Hspb8"
"453","2810468N07Rik"
"454","Adam12"
"455","Cryab"
"456","Cpne7"
"457","Rbfox1"
"458","Marcksl1"
"459","Adcy1"
"460","Pde2a"
"461","Slc29a1"
"462","Cacna1e"
"463","Srgap1"
"464","Fstl4"
"465","Slc17a8"
"466","Nr1h4"
"467","Cyb5r2"
"468","Snx31"
"469","Gas2l3"
"470","Scgn"
"471","Csrp2"
"472","Stbd1"
"473","Syndig1l"
"474","Scml4"
"475","Bmp7"
"476","Pvalb"
"477","Wnt7b"
"478","Cilp2"
"479","Pcdh19"
"480","Kcna5"
"481","Slc22a23"
"482","Abhd11os"
"483","Ezr"
"484","Arhgef26"
"485","Cck"
"486","Etl4"
"487","Fam81a"
"488","Lppr1"
"489","Calb2"
"490","Penk"
"491","Thsd7b"
"492","Grm8"
"493","Trhde"
"494","March1"
"495","Syt17"
"496","Rbp4"
"497","Mir344f"
"498","Ntsr2"
"499","Bmper"
"500","Tmtc4"
"501","Shisa6"
"502","Sdk1"
"503","Grik4"
"504","Npy5r"
"505","Kcnip2"
"506","Itgb8"
"507","Sparcl1"
"508","Elmo1"
"509","Sulf2"
"510","Kcnd2"
"511","Stac"
"512","Mc5r"
"513","Igfbp6"
"514","1810011O10Rik"
"515","Prkd3"
"516","Bcar3"
