"","Gene"
"2581","D830030K20Rik"
"2582","Mdm1"
"2583","Tanc1"
"2584","Ets1"
"2585","Nlgn1"
"2586","Grhl3"
"2587","Ppcs"
"2588","4930430F08Rik"
"2589","Mcat"
"2590","Efnb2"
"2591","Chid1"
"2592","Smc2"
"2593","Them6"
"2594","Manba"
"2595","Cxxc5"
"2596","Hexb"
"2597","Cd55"
"2598","Ano5"
"2599","Net1"
"2600","Anxa6"
"2601","2310030G06Rik"
"2602","Cmpk2"
"2603","Sesn1"
"2604","9630033F20Rik"
"2605","Abcd2"
"2606","S1pr3"
"2607","Spry2"
"2608","Fos"
"2609","Frmd6"
"2610","LOC100861615"
"2611","Spc25"
"2612","Cast"
"2613","Jun"
"2614","Nexn"
"2615","Tmem53"
"2616","Acadm"
"2617","Cdyl"
"2618","Il18"
"2619","Calca"
"2620","1700019D03Rik"
"2621","Tmem218"
"2622","Myh14"
"2623","Pth1r"
"2624","Alox8"
"2625","Tspan9"
"2626","Abhd3"
"2627","Hsbp1l1"
"2628","Lama3"
"2629","Smtn"
"2630","Asb2"
"2631","Cacna1g"
"2632","2010001A14Rik"
"2633","Mypn"
"2634","Syde1"
"2635","Mitf"
"2636","Sphk1"
"2637","Btn2a2"
"2638","Myo5b"
"2639","LOC102238518"
"2640","Slc25a13"
"2641","Impa2"
"2642","Hbegf"
"2643","Zfp385a"
"2644","Lbh"
"2645","Edn1"
"2646","Tbc1d4"
"2647","Ciart"
"2648","Spsb2"
"2649","Il4ra"
"2650","Ldlrad4"
"2651","LOC102634072"
"2652","Sox11"
"2653","Pparg"
"2654","Smpdl3a"
"2655","LOC102639456"
"2656","Apeh"
"2657","Grm4"
"2658","P2rx4"
"2659","Epb4.1"
"2660","As3mt"
"2661","Sema4a"
"2662","Fam132a"
"2663","Ccdc88c"
"2664","Mmgt2"
"2665","Fam126a"
"2666","Kcnq4"
"2667","Gsn"
"2668","Swap70"
"2669","Lrrc4"
"2670","Bmp2"
"2671","Fam124a"
"2672","Spag6"
"2673","Rhbdl3"
"2674","Ankrd34b"
"2675","A230070E04Rik"
"2676","Zhx2"
"2677","Stat4"
"2678","Esr1"
"2679","Inhbb"
"2680","Amz1"
"2681","Vav3"
"2682","Ltk"
"2683","Ctnna1"
"2684","B3gnt2"
"2685","Amotl1"
"2686","Rab42"
"2687","Pde9a"
"2688","Nt5c1a"
"2689","Rarb"
"2690","Eif4ebp1"
"2691","Sgpp2"
"2692","Tmem74"
"2693","Inppl1"
"2694","Tgfbr2"
"2695","Nt5e"
"2696","Zar1l"
"2697","LOC102641120"
"2698","Spata2l"
"2699","Fah"
"2700","Chrm1"
"2701","Fkbp11"
"2702","Galk1"
"2703","Rnf152"
"2704","Map2k6"
"2705","Cdkl5"
"2706","LOC105246093"
"2707","Golim4"
"2708","March11"
"2709","Sash1"
"2710","Etv5"
"2711","Ttc39b"
"2712","Pgm1"
"2713","Vegfc"
"2714","Sh3rf3"
"2715","Etv6"
"2716","Kcnh1"
"2717","Ccdc74a"
"2718","4933412E12Rik"
"2719","Fnip2"
"2720","Armcx6"
"2721","Slc35f4"
"2722","Kcnd3"
"2723","Entpd2"
"2724","Scn3b"
"2725","LOC102640933"
"2726","Ankrd34c"
"2727","Orai2"
"2728","Dact1"
"2729","Rnd1"
"2730","Map3k1"
"2731","Siah3"
"2732","Ppfibp1"
"2733","Ddah2"
"2734","Cdr2"
"2735","Spata1"
"2736","Usp6nl"
"2737","Sh3gl3"
"2738","Maob"
"2739","Adcyap1r1"
"2740","LOC105243924"
"2741","Mir344i"
"2742","Cdh10"
"2743","Cacna1i"
"2744","Sowahb"
"2745","F2r"
"2746","1700017B05Rik"
"2747","Kcnb2"
"2748","2900026A02Rik"
"2749","Erich3"
"2750","Igtp"
"2751","Ahr"
"2752","Dsel"
"2753","Trpv6"
"2754","Zcchc16"
"2755","D030054H15Rik"
"2756","Nkain1"
"2757","Padi2"
"2758","9230114K14Rik"
"2759","Hebp2"
"2760","Cyp7b1"
"2761","LOC105242543"
"2762","Slc16a14"
"2763","Jup"
"2764","Plin2"
"2765","Hmox1"
"2766","Apool"
"2767","Axin2"
"2768","Slitrk1"
"2769","Gpsm2"
"2770","Nrip2"
"2771","Pitpnc1"
"2772","Sema6c"
"2773","Efnb3"
"2774","Sgcd"
"2775","Fads6"
"2776","Smad9"
"2777","Gpr161"
"2778","Ptpn3"
"2779","Hebp1"
"2780","Slc6a7"
"2781","Fam189a2"
"2782","Figf"
"2783","Tmtc1"
"2784","Hap1"
"2785","Ptprg"
"2786","Doc2a"
"2787","Epha7"
"2788","Tgfbr1"
"2789","Tgfb1i1"
"2790","Tmem158"
"2791","Dlx6"
"2792","Cib2"
"2793","Sntg2"
"2794","B3galt1"
"2795","Nkain2"
"2796","Cbfb"
"2797","Kif26b"
"2798","Nipsnap3b"
"2799","Cgref1"
"2800","1500009L16Rik"
"2801","Cxxc4"
"2802","Ubtd1"
"2803","Cdk19"
"2804","Bend5"
"2805","Tmem117"
"2806","Cdk14"
"2807","Gpr158"
"2808","Sec24d"
"2809","Ankrd44"
"2810","Maml3"
"2811","Stard9"
"2812","LOC105244051"
"2813","Tmeff1"
"2814","D130043K22Rik"
"2815","Fam26e"
"2816","LOC105245826"
"2817","Asah2"
"2818","Arhgap31"
"2819","C630043F03Rik"
"2820","LOC105244637"
"2821","Itpk1"
"2822","Lrrc16a"
"2823","Csmd2"
"2824","Galnt13"
"2825","Unc13b"
"2826","Elovl7"
"2827","5031439G07Rik"
"2828","Sdc2"
"2829","A330040F15Rik"
"2830","Sh3bgrl2"
"2831","Sema7a"
"2832","Dll3"
"2833","Doc2g"
"2834","Ly96"
"2835","Rab27a"
"2836","Itgav"
"2837","Sfmbt2"
"2838","Kcns1"
"2839","Aifm3"
"2840","Gpr56"
"2841","Creg2"
"2842","Bhlhe41"
"2843","Mcur1"
"2844","Akap12"
"2845","Adamts6"
"2846","Lrrk2"
"2847","Aff2"
"2848","Fam149a"
"2849","Sptb"
"2850","Ikzf2"
"2851","Lgi2"
"2852","Cyp2j6"
"2853","Ttc39a"
"2854","Pid1"
"2855","Kazn"
"2856","Psat1"
"2857","Nav1"
"2858","Slc41a3"
"2859","Shroom3"
"2860","Csrnp1"
"2861","Gpr3"
"2862","Npas4"
"2863","Cbr3"
"2864","Zfp811"
"2865","Thap3"
"2866","Paqr7"
"2867","Slc23a3"
"2868","Plekha4"
"2869","Etnk2"
"2870","Lynx1"
"2871","Lrrtm2"
"2872","Trim66"
"2873","Zfp825"
"2874","Otud7b"
"2875","4930447N08Rik"
"2876","Apoh"
"2877","Tmem114"
"2878","Acot5"
"2879","Pkp2"
"2880","Ube2l6"
"2881","Abcc4"
"2882","Col6a4"
"2883","2010320O07Rik"
"2884","Nhsl1"
"2885","Cenpu"
"2886","Rsph1"
"2887","Marcksl1-ps3"
"2888","Cd52"
"2889","Serinc2"
"2890","Retn"
"2891","Epor"
"2892","Ctsk"
"2893","Aloxe3"
"2894","Hfe2"
"2895","Hkdc1"
"2896","Bok"
"2897","Dynlrb2"
"2898","Xkr6"
"2899","LOC105246514"
"2900","Il12a"
"2901","LOC102637959"
"2902","Mir135a-2"
"2903","Otop2"
"2904","LOC105245718"
"2905","LOC105244450"
"2906","LOC105244137"
"2907","Plk5"
"2908","Gadd45g"
"2909","Tmco5"
"2910","Ak3l2-ps"
"2911","Tnfaip8l1"
"2912","Scnn1a"
"2913","LOC102634300"
"2914","Boc"
"2915","Wnt9a"
"2916","Mei1"
"2917","LOC100861727"
"2918","Asb11"
"2919","Hr"
"2920","C77080"
"2921","Evc2"
"2922","Gnal"
"2923","Ryr1"
"2924","Peak1"
"2925","Prex1"
"2926","Bglap3"
"2927","Lamc2"
"2928","Nr4a3"
"2929","Kctd1"
"2930","Npl"
"2931","Dusp18"
"2932","Rin1"
"2933","Adamts5"
"2934","Slc16a2"
"2935","Dpp4"
"2936","Il17ra"
"2937","Btg2"
"2938","Abhd2"
"2939","Efcab1"
"2940","Slc22a4"
"2941","Adam33"
"2942","Dpy19l3"
"2943","Postn"
"2944","Snx25"
"2945","Ptgs2os"
"2946","Lemd1"
"2947","Tspan11"
"2948","Rgs13"
"2949","Ccdc42"
"2950","Lat2"
"2951","Dmrtb1"
"2952","Pik3r6"
"2953","Trpc7"
"2954","Tmem232"
"2955","Mir132"
"2956","A630023P12Rik"
"2957","Palm3"
"2958","8030453O22Rik"
"2959","Zfp296"
"2960","BC061194"
"2961","Theg"
"2962","Usp27x"
"2963","Htra4"
"2964","Susd2"
"2965","Adamts18"
"2966","Islr"
"2967","Cwh43"
"2968","Pdia5"
"2969","Spsb1"
"2970","Tle1"
"2971","Dlc1"
"2972","Phf21b"
"2973","Acot1"
"2974","C1ra"
"2975","Foxo6"
"2976","Dnah14"
"2977","LOC105244162"
"2978","2010204K13Rik"
"2979","Baalc"
"2980","2510009E07Rik"
"2981","LOC105243177"
"2982","Lepr"
"2983","Adam18"
"2984","Prkg1"
"2985","LOC100503338"
"2986","Hspa2"
"2987","Cacna1h"
"2988","Igf2bp2"
"2989","Scara3"
"2990","Nptxr"
"2991","Cox7a1"
"2992","L3mbtl4"
"2993","1700034G24Rik"
"2994","Dnah9"
"2995","C7"
"2996","Fbxo47"
"2997","Spata19"
"2998","Acy3"
"2999","Rell1"
"3000","Tmem37"
"3001","Adamts13"
"3002","Lipg"
"3003","LOC102635707"
"3004","Ccbe1"
"3005","Kiss1"
"3006","Ankrd63"
"3007","H2-DMa"
"3008","Dclk3"
"3009","LOC105244904"
"3010","Zfp831"
"3011","Kcnh4"
"3012","Ephx1"
"3013","Spag5"
"3014","Dact2"
"3015","Tmem243"
"3016","H2-D1"
"3017","Gpr115"
"3018","Slc24a4"
"3019","Hrk"
"3020","LOC105244060"
"3021","Slc7a14"
"3022","Chst2"
"3023","Pmaip1"
"3024","LOC105242908"
"3025","Fbxo10"
"3026","Rftn1"
"3027","LOC105245598"
"3028","1700001L05Rik"
"3029","Epb4.1l2"
"3030","Zfp608"
"3031","Ppfibp2"
"3032","Copz2"
"3033","Smad3"
"3034","Lacc1"
"3035","Shroom2"
"3036","Vwa1"
"3037","Tmem145"
"3038","Gpc5"
"3039","Lhfpl2"
"3040","Slc29a4"
"3041","Tmem144"
"3042","Cstad"
"3043","Skap2"
"3044","Efna1"
"3045","LOC102640042"
"3046","Acer2"
"3047","LOC105246787"
"3048","Slc9b2"
"3049","Jsrp1"
"3050","Fam183b"
"3051","1700016K19Rik"
"3052","LOC102640985"
"3053","Prox2"
"3054","Plcb4"
"3055","2310040G24Rik"
"3056","Itga7"
"3057","Coro1c"
"3058","Onecut2"
"3059","Fam101b"
"3060","5031414D18Rik"
"3061","AU022754"
"3062","2810404M03Rik"
"3063","Zfp462"
"3064","Cd302"
"3065","Yap1"
"3066","Sstr4"
"3067","Ntsr1"
"3068","Tnnt2"
"3069","Rnf39"
"3070","Herc6"
"3071","Rims3"
"3072","LOC100503142"
"3073","Nrn1l"
"3074","Rhoc"
"3075","Sh3bp4"
"3076","Cd6"
"3077","Gcnt4"
"3078","Krt77"
"3079","Zfp189"
"3080","LOC105242741"
"3081","Nkd1"
"3082","Vat1"
"3083","Plekhh2"
"3084","Ppfia4"
"3085","Aldh1l1"
"3086","Ocm"
"3087","Sec16b"
"3088","Dnah10"
"3089","Fam92b"
"3090","Naa11"
"3091","Cdkn1c"
"3092","LOC105246359"
"3093","Cd200r1"
"3094","LOC102638195"
"3095","LOC105243891"
"3096","Olfr316"
"3097","Bank1"
"3098","LOC105246832"
"3099","Scd1"
"3100","N4bp3"
"3101","Rab34"
"3102","Psrc1"
"3103","Rem2"
"3104","LOC102635783"
"3105","LOC102642041"
"3106","Slc13a5"
"3107","Rreb1"
"3108","Cd59b"
"3109","A330008L17Rik"
"3110","Cela1"
"3111","Tspan4"
"3112","Cflar"
"3113","Rin2"
"3114","Hs3st5"
"3115","Prtn3"
"3116","Kcnh5"
"3117","Lrch1"
"3118","Efcab13"
"3119","Scp2-ps2"
"3120","Disc1"
"3121","Itpkb"
"3122","Ldlr"
"3123","Ninj1"
"3124","Prss16"
"3125","Rab39"
"3126","C130026L21Rik"
"3127","Actn2"
"3128","Ank1"
"3129","Efemp2"
"3130","Xaf1"
"3131","Kiss1r"
"3132","Adcy7"
"3133","Rasa4"
"3134","Atp8b1"
"3135","Wnt2"
"3136","Steap2"
"3137","Cpxm2"
"3138","Neb"
"3139","Fbln1"
"3140","Prrg1"
"3141","2900041M22Rik"
"3142","Gpr52"
"3143","Hes5"
"3144","3110007F17Rik"
"3145","Vrk2"
"3146","Cldn23"
"3147","Anxa11"
"3148","Thbd"
"3149","A830021M18Rik"
"3150","Arhgap12"
"3151","A930012L18Rik"
"3152","Bicc1"
"3153","D16Ertd472e"
"3154","9430085M18Rik"
"3155","Anks1"
"3156","Cfap46"
"3157","Ace"
"3158","Cyp4x1"
"3159","Smim1"
"3160","Plb1"
"3161","Cd44"
"3162","Arhgdib"
"3163","Mfap4"
"3164","AI115009"
"3165","Itga11"
"3166","LOC105246577"
"3167","Srd5a1"
"3168","Pls1"
"3169","C2cd4b"
"3170","Kcnk4"
"3171","Tspan6"
"3172","Pts"
"3173","Cyb5r1"
"3174","Rai2"
"3175","B9d2"
"3176","Mmel1"
"3177","Tnfrsf19"
"3178","2810032G03Rik"
"3179","Grhl1"
"3180","9530091C08Rik"
"3181","LOC105244038"
"3182","Pdgfc"
"3183","Crhr1"
"3184","Pacsin2"
"3185","C130074G19Rik"
"3186","Arg2"
"3187","Scn3a"
"3188","Aldh1b1"
"3189","Ltbp3"
"3190","Sall2"
"3191","Alox5ap"
"3192","1700028P14Rik"
"3193","Relt"
"3194","Prickle3"
"3195","C2cd4c"
"3196","Mylip"
"3197","Kremen1"
"3198","Irak2"
"3199","Trpm3"
"3200","Enkur"
"3201","Ccnjl"
"3202","LOC105243525"
"3203","Sntb2"
"3204","Neu2"
"3205","Wdpcp"
"3206","Rnf144a"
"3207","Gse1"
"3208","LOC105242578"
"3209","Zfp941"
"3210","Ppm1m"
"3211","Parva"
"3212","S1pr5"
"3213","Mfap2"
"3214","Sept9"
"3215","Il10rb"
"3216","Chst11"
"3217","Elovl2"
"3218","Sh3d19"
"3219","Pmp22"
"3220","Samd14"
"3221","Tekt1"
"3222","LOC105246453"
"3223","Cdkn3"
"3224","3300002P13Rik"
"3225","Trmt2b"
"3226","Rnf182"
"3227","Zfp467"
"3228","Clmn"
"3229","Slc38a4"
"3230","Afmid"
"3231","Plekha7"
"3232","LOC105243544"
"3233","Mlf1"
"3234","Sipa1"
"3235","Psd2"
"3236","Sgsh"
"3237","Krt20"
"3238","P2rx7"
"3239","Shc4"
"3240","Tbc1d16"
"3241","Skap1"
"3242","2610034B18Rik"
"3243","B3galt5"
"3244","Cd74"
"3245","Zfp459"
"3246","Lrrc74b"
"3247","Dpysl5"
"3248","Snx8"
"3249","Fut10"
"3250","Agpat9"
"3251","A730056A06Rik"
"3252","Atf5"
"3253","Wdr66"
"3254","Lrrc10b"
"3255","B230206L02Rik"
"3256","1110054M08Rik"
"3257","Pcsk4"
"3258","4833422C13Rik"
"3259","LOC102636041"
"3260","Ctbp2"
"3261","Ldlrad3"
"3262","Ppp1r18"
"3263","Slc9a3r2"
"3264","LOC105246301"
"3265","LOC105244150"
"3266","Cdc42ep2"
"3267","Spns2"
"3268","Samd9l"
"3269","Bid"
"3270","Sept4"
"3271","Chrd"
"3272","Pwwp2b"
"3273","Proser2"
"3274","Stk32c"
"3275","Kcna4"
"3276","Ccdc122"
"3277","Rhobtb3"
"3278","Cfap45"
"3279","A630081J09Rik"
"3280","Rab3il1"
"3281","1810010H24Rik"
"3282","Xylt1"
"3283","Gpr26"
"3284","Mid1ip1"
"3285","Sh2d7"
"3286","Cacnb2"
"3287","Slc35f3"
"3288","Lrrc75a"
"3289","Col9a3"
"3290","Klhl25"
"3291","A830082K12Rik"
"3292","Tbc1d2"
"3293","LOC105244586"
"3294","LOC105244016"
"3295","LOC105244845"
"3296","LOC105246668"
"3297","9430038I01Rik"
"3298","Lsm11"
"3299","Plp2"
"3300","Zbtb46"
"3301","Hcn3"
"3302","Dleu2"
"3303","Tmem200c"
"3304","B930082K07Rik"
"3305","Clmp"
"3306","Ccdc171"
"3307","Rab26"
"3308","Plekhb1"
"3309","Trabd2b"
"3310","Rcan3"
"3311","Syt12"
"3312","Zfp703"
"3313","Ccdc138"
"3314","E2f1"
"3315","D630023F18Rik"
"3316","Hbq1b"
"3317","Hnmt"
"3318","Galnt10"
"3319","Cabp1"
"3320","LOC105242721"
"3321","Cyp2c52-ps"
"3322","Osbpl1a"
"3323","Syt13"
"3324","Scn2b"
"3325","AI593442"
"3326","Lin7b"
"3327","Auts2"
"3328","Mir3064"
"3329","Efhd2"
"3330","Phactr1"
"3331","Cacnb4"
"3332","Rit2"
"3333","Nap1l2"
"3334","B3galnt1"
"3335","Appl2"
"3336","Pak1"
"3337","Pgm2l1"
"3338","Rnf14"
"3339","Idh3a"
"3340","Mgst3"
"3341","Mbp"
"3342","Gatm"
"3343","Neat1"
"3344","Tspan15"
"3345","Gab1"
"3346","Arhgef10"
"3347","Rnf122"
"3348","Cxcl16"
"3349","Prrx2"
"3350","Tfpi"
"3351","Ncam1"
"3352","Strbp"
"3353","Ahi1"
"3354","Scg3"
"3355","Rras"
"3356","Slc2a1"
"3357","Abcg2"
"3358","Stmn1"
"3359","Phyhd1"
"3360","Ube2cbp"
"3361","Slc6a11"
"3362","Slc24a2"
"3363","Grip1"
"3364","Kcnh6"
"3365","Nrcam"
"3366","Aig1"
"3367","Slc27a1"
"3368","Marcks"
"3369","Ccl27a"
"3370","Ndrg3"
"3371","Usp35"
"3372","Zscan18"
"3373","Glt28d2"
"3374","Cdh24"
"3375","Lgals3bp"
"3376","Cuzd1"
"3377","Camkv"
"3378","Sept3"
"3379","Tmbim1"
"3380","Gjc1"
"3381","Col16a1"
"3382","Shb"
"3383","Incenp"
"3384","Trhr2"
"3385","Ptk7"
"3386","Tmem47"
"3387","Gstt2"
"3388","Tmem86a"
"3389","Rpph1"
"3390","Stxbp3a"
"3391","Mir129-1"
"3392","Grb10"
"3393","Tcte1"
"3394","D930048N14Rik"
"3395","Entpd3"
"3396","Etv4"
"3397","Fam53b"
"3398","Bmpr1b"
"3399","3632454L22Rik"
"3400","Npas2"
"3401","Arhgap22"
"3402","Nlrp6"
"3403","Kank4"
"3404","Abra"
"3405","0610040J01Rik"
"3406","LOC105243543"
"3407","Sema4g"
"3408","Hpcal4"
"3409","Sh3gl2"
"3410","Prkcb"
"3411","Slc4a10"
"3412","Ppp3ca"
"3413","Prnp"
"3414","Glrb"
"3415","Kdr"
"3416","Pfkp"
"3417","Limk1"
"3418","Cmya5"
"3419","Frmpd3"
"3420","Sec14l2"
"3421","Xkr7"
"3422","Sox4"
"3423","Fgf5"
"3424","Mapk3"
"3425","Mtcl1"
"3426","1110008P14Rik"
"3427","Nkiras1"
"3428","Ttc9b"
"3429","Scn1b"
"3430","Ppp3r1"
"3431","Phldb1"
"3432","Stmn4"
"3433","Ank3"
"3434","Palld"
"3435","Ank2"
"3436","Cotl1"
"3437","Arpc1b"
"3438","Mtss1"
"3439","Actl6b"
"3440","Dmtn"
"3441","Gpm6b"
"3442","Rtn4"
"3443","Atl1"
"3444","Npdc1"
"3445","Mid2"
"3446","Pxdn"
"3447","Mir344g"
"3448","H2-T22"
"3449","Zdhhc12"
"3450","Drc1"
"3451","Sh3pxd2b"
"3452","Plekho1"
"3453","Arhgap10"
"3454","5330434G04Rik"
"3455","Ctdspl"
"3456","Coro1a"
"3457","Kcnk1"
"3458","Celf2"
"3459","LOC105244249"
"3460","LOC105243853"
"3461","Sidt1"
"3462","Sntg1"
"3463","Trib1"
"3464","Cadm2"
"3465","Fscn1"
"3466","Shank1"
"3467","Pld3"
"3468","Fcor"
"3469","Epha10"
"3470","A930011G23Rik"
"3471","Anxa5"
"3472","Vldlr"
"3473","Eogt"
"3474","Stk26"
"3475","Dtx4"
"3476","A730090N16Rik"
"3477","Rassf8"
"3478","Itga9"
"3479","E130114P18Rik"
"3480","Slco5a1"
"3481","Tmem198b"
"3482","LOC105242586"
"3483","LOC105243914"
"3484","Trim17"
"3485","St3gal5"
"3486","Podn"
"3487","Ypel1"
"3488","Nbeal2"
"3489","Tnfaip3"
"3490","Klhdc8b"
"3491","Tcirg1"
"3492","Cyp11a1"
"3493","LOC102636700"
"3494","Ablim3"
"3495","Cnih2"
"3496","Fut9"
"3497","Nedd9"
"3498","LOC105246134"
"3499","Lamc1"
"3500","Fam49b"
"3501","Degs2"
"3502","Pafah1b3"
"3503","Vipr1"
"3504","Muc15"
"3505","Dchs1"
"3506","Aqp11"
"3507","St5"
"3508","Tusc3"
"3509","Mpeg1"
"3510","Spi1"
"3511","Hbq1a"
"3512","Lipa"
"3513","Snx9"
"3514","Ifih1"
"3515","Tsc22d1"
"3516","Kctd6"
"3517","Ngfrap1"
"3518","Gstm2-ps1"
"3519","Nat8"
"3520","Phkg1"
"3521","Sdc4"
"3522","Lfng"
"3523","C030018K13Rik"
"3524","Tst"
"3525","Fzd2"
"3526","LOC105245679"
"3527","LOC105245083"
"3528","Erbb3"
"3529","LOC105244608"
"3530","Zbp1"
"3531","Cxcl9"
"3532","F830016B08Rik"
"3533","Car13"
"3534","Gbp10"
"3535","Bnc2"
"3536","2310015B20Rik"
"3537","Six2"
"3538","Hmgcs2"
"3539","Notum"
"3540","LOC100861618"
"3541","Lama1"
"3542","Lamc3"
"3543","Col4a5"
"3544","Lrrk1"
"3545","Adap2"
"3546","Ano1"
"3547","Cysltr2"
"3548","Foxs1"
"3549","LOC105244119"
"3550","Ggt1"
"3551","Anpep"
"3552","Tbx3"
"3553","Myom1"
"3554","Rbpms2"
"3555","Ebf1"
"3556","Mrvi1"
"3557","Kcnmb1"
"3558","Gpr20"
"3559","Heyl"
"3560","Cnn1"
"3561","Aoc3"
"3562","Olfr558"
"3563","Map3k7cl"
"3564","LOC105246387"
"3565","LOC102636037"
"3566","Lef1"
"3567","Slc38a5"
"3568","Grap"
"3569","Klf4"
"3570","Sp100"
"3571","Slfn5"
"3572","Tmem106a"
"3573","Msr1"
"3574","Cd14"
"3575","Cd48"
"3576","Cd36"
"3577","Hmha1"
"3578","Itgam"
"3579","Cd37"
"3580","Hsd17b12"
"3581","Lsamp"
"3582","Fam184a"
"3583","Prkcdbp"
"3584","Fam213a"
"3585","Ccdc136"
"3586","Atp9a"
"3587","Stau2"
"3588","2010107G23Rik"
"3589","H3f3a-ps2"
"3590","Hmgb1-ps4"
"3591","Arnt2"
"3592","Lrrtm1"
"3593","Gpr22"
"3594","H3f3c"
"3595","Scn1a"
"3596","Limd2"
"3597","Gpsm1"
"3598","LOC105244017"
"3599","Epha5"
"3600","Hivep2"
"3601","Mkl2"
"3602","Twsg1"
"3603","Snap91"
"3604","Ncdn"
"3605","Sh3bgrl3"
"3606","Mtfp1"
"3607","Pdlim7"
"3608","Sumo3"
"3609","Arhgef39"
"3610","Pnmal2"
"3611","Map2"
"3612","Fam171b"
"3613","Rundc3a"
"3614","Ndufv2"
"3615","Vamp2"
"3616","Psip1"
"3617","Sptbn1"
"3618","A930011O12Rik"
"3619","Plk2"
"3620","Gsto1"
"3621","Tank"
"3622","Gca"
"3623","Pak3"
"3624","Reps2"
"3625","Uchl1os"
"3626","Lpgat1"
"3627","Cacng2"
"3628","Mir703"
"3629","Gprasp1"
"3630","Erc2"
"3631","Sez6l2"
"3632","Cntnap2"
"3633","Spock2"
"3634","Sgip1"
"3635","Scoc"
"3636","Tfap2b"
"3637","Fabp5"
"3638","Lgals9"
"3639","Ptprs"
"3640","Rufy3"
"3641","Abi3"
"3642","Cadps"
"3643","Nkain4"
"3644","Ache"
"3645","Rab27b"
"3646","Gars"
"3647","Prkacb"
"3648","Pdp1"
"3649","Fbxw7"
"3650","Pcsk2"
"3651","Fam3c"
"3652","Ppp1r1a"
"3653","AI464131"
"3654","Pdlim4"
"3655","Cyp2d22"
"3656","Etnppl"
"3657","Chrdl1"
"3658","Gli3"
"3659","2900052N01Rik"
"3660","Mir6390"
"3661","Glns-ps1"
"3662","Sema3d"
"3663","Prc1"
"3664","Sgol2a"
"3665","Ntrk2"
"3666","Cspg5"
"3667","Kctd13"
"3668","Bin1"
"3669","Ttll7"
"3670","Tppp"
"3671","Rfx4"
"3672","Psmb8"
"3673","Ttyh1"
"3674","Syne1"
"3675","Arhgap29"
"3676","Alx3"
"3677","LOC102633322"
"3678","Slc2a4"
"3679","Gstm5"
"3680","Acsl3"
"3681","Flna"
"3682","Pls3"
"3683","Perp"
"3684","Hmgn3"
"3685","Dtna"
"3686","Vegfa"
"3687","Tpm4"
"3688","Slc6a6"
"3689","Lst1"
"3690","Msmo1"
"3691","Prdx6"
"3692","Rgs2"
"3693","Sv2a"
"3694","Necap1"
"3695","Slc6a17"
"3696","Apbb1"
"3697","Kif20b"
"3698","Nes"
"3699","Birc5"
"3700","Cenpe"
"3701","Nde1"
"3702","Nsl1"
"3703","Chek2"
"3704","Aurka"
"3705","Kif23"
"3706","Cdca8"
"3707","Ccna2"
"3708","Zfp36l2"
"3709","Cdo1"
"3710","Sdc3"
"3711","Ncan"
"3712","Spry1"
"3713","Rhbdl2"
"3714","Ddc"
"3715","5430435G22Rik"
"3716","Mx2"
"3717","Hhip"
"3718","Parvb"
"3719","LOC105243028"
"3720","Adamtsl4"
"3721","D7Ertd443e"
"3722","Casq2"
"3723","Notch3"
"3724","Tuba1c"
"3725","BC028528"
"3726","Arpc5l"
"3727","Plekhf1"
"3728","Deb1"
"3729","Ldlrap1"
"3730","Dbndd2"
"3731","Ccl19"
"3732","Snai1"
"3733","Col4a6"
"3734","BC051019"
"3735","Robo4"
"3736","Foxq1"
"3737","Ctla2b"
"3738","Mir150"
"3739","Cd86"
"3740","Cybb"
"3741","Cd84"
"3742","C5ar1"
"3743","Mgl2"
"3744","AI607873"
"3745","Fcna"
"3746","Ccl7"
"3747","Clec4a1"
"3748","Ccr1"
"3749","Aoah"
"3750","Lilrb4"
"3751","F630028O10Rik"
"3752","Rgs18"
"3753","Ccr5"
"3754","Susd3"
"3755","Bin2"
"3756","Bcl2a1b"
"3757","Fgd2"
"3758","Csf3r"
"3759","Cd33"
"3760","Tnfaip8l2"
"3761","Syngr1"
"3762","Nckap5"
"3763","Fhl3"
"3764","Pak4"
"3765","Pde8a"
"3766","Fth-ps3"
"3767","Plekhh1"
"3768","Pcolce2"
"3769","Tmem229a"
"3770","Hcn2"
"3771","Nmral1"
"3772","Mast4"
"3773","Jph4"
"3774","LOC102632415"
"3775","Plcb1"
"3776","Trio"
"3777","Slc1a1"
"3778","Sept5"
"3779","Mycl"
"3780","Traf4"
"3781","Dynlt1c"
"3782","D630045J12Rik"
"3783","Nrm"
"3784","Pde4d"
"3785","Casp3"
"3786","Frmd4a"
"3787","Tnfrsf21"
"3788","Cdh19"
"3789","Gng8"
"3790","Foxj1"
"3791","Abca8a"
"3792","Folh1"
"3793","Gpt"
"3794","Lpar6"
"3795","Xrcc3"
"3796","Hist1h4h"
"3797","Tesk2"
"3798","1190005I06Rik"
"3799","Slc19a3"
"3800","Hmcn1"
"3801","Ushbp1"
"3802","Smagp"
"3803","P2ry6"
"3804","Fcgr1"
"3805","Tmem173"
"3806","Cyp46a1"
"3807","Asph"
"3808","Trim59"
"3809","Gnb5"
"3810","Arhgef19"
"3811","Cdipt"
"3812","Vangl1"
"3813","Scrn1"
"3814","Rnf208"
"3815","Dera"
"3816","Nceh1"
"3817","Mgll"
"3818","Cbr1"
"3819","Hars"
"3820","Bccip"
"3821","Rnf146"
"3822","Dgat2"
"3823","Abhd16a"
"3824","Fbxo9"
